frame_nr;sampler_ratio;original_size;encoded_size;encoding_time
922;25;2133060;81343;7
923;25;2150565;81741;7
924;25;2160510;82701;7
925;25;2173740;83622;10
926;25;2186175;84418;7
927;25;2182515;83791;7
928;25;2181255;83569;7
929;25;2193990;83680;7
930;25;2220615;84554;7
931;25;2237250;85452;7
932;25;2238525;85201;15
933;25;2222745;86122;7
934;25;2196810;84633;7
935;25;2213895;86091;7
936;25;2209185;86004;7
937;25;2199780;86106;7
938;25;2200650;85109;7
939;25;2197710;84928;7
940;25;2197710;85424;7
941;25;2195790;85220;7
942;25;2199570;85142;7
943;25;2196540;85909;8
944;25;2192580;84789;7
945;25;2202720;85127;7
946;25;2193420;84383;8
947;25;2204925;85719;7
948;25;2190315;84898;7
949;25;2189865;85580;7
950;25;2186400;85830;7
951;25;2181555;85472;7
952;25;2208270;85175;7
953;25;2203530;84674;8
954;25;2191830;85791;7
955;25;2203845;85760;7
956;25;2188830;85400;7
957;25;2199270;85604;7
958;25;2197890;86632;7
959;25;2202450;85886;7
960;25;2203005;86351;7
961;25;2188620;85461;7
962;25;2194755;85365;7
963;25;2202300;85329;7
964;25;2179215;83625;7
965;25;2190195;84195;7
966;25;2236545;86899;7
967;25;2262450;88314;8
968;25;2267220;88576;7
969;25;2275530;88368;7
970;25;2279385;87954;7
971;25;2279910;88264;8
972;25;2271705;88264;7
973;25;2270970;88235;7
974;25;2281335;88687;7
975;25;2280540;88839;7
976;25;2283750;88798;8
977;25;2284530;89760;7
978;25;2286045;89593;10
979;25;2280660;88592;7
980;25;2269620;83992;7
981;25;2265000;87908;7
982;25;2258835;88367;8
983;25;2250645;87325;7
984;25;2244030;87896;7
985;25;2245335;87531;8
986;25;2250465;87712;7
987;25;2261190;88191;7
988;25;2241585;87316;7
989;25;2261880;88329;7
990;25;2253000;88262;7
991;25;2251680;87549;8
992;25;2241900;87467;9
993;25;2234370;86490;7
994;25;2227815;86599;7
995;25;2230935;86878;7
996;25;2224170;86660;8
997;25;2216415;85837;7
998;25;2214660;85866;7
999;25;2210250;86236;8
1000;25;2211525;86482;7
1001;25;2214945;86658;7
1002;25;2203170;85975;7
1003;25;2199615;86301;8
1004;25;2199720;85374;7
1005;25;2206545;86028;7
1006;25;2204850;86412;7
1007;25;2211360;86246;7
1008;25;2201205;85060;7
1009;25;2173245;84148;7
1010;25;2180550;84193;7
1011;25;2164560;83461;7
1012;25;2169585;84188;7
1013;25;2180595;84144;7
1014;25;2195970;84892;7
1015;25;2197650;85113;7
1016;25;2186145;84893;7
1017;25;2179410;84297;7
1018;25;2165535;84061;7
1019;25;2161020;83762;7
1020;25;2177700;84289;7
1021;25;2186925;85066;9
1022;25;2195010;84703;8
1023;25;2196540;84766;8
1024;25;2210595;84563;7
1025;25;2199555;84141;7
1026;25;2207460;84589;7
1027;25;2210385;84698;7
1028;25;2194500;83673;8
1029;25;2204685;85450;7
1030;25;2197590;84677;7
1031;25;2195790;84543;7
1032;25;2196480;85721;7
1033;25;2193975;84879;7
1034;25;2203350;85428;7
1035;25;2194875;84317;8
1036;25;2184585;85457;7
1037;25;2182365;86121;7
1038;25;2188050;85146;7
1039;25;2189580;85606;8
1040;25;2192775;84995;7
1041;25;2170995;84172;7
1042;25;2152095;82041;7
1043;25;2151405;82636;7
1044;25;2143695;81334;7
1045;25;2104080;78856;7
1046;25;2097225;77918;7
1047;25;2089245;78363;7
1048;25;2084475;77586;7
1049;25;2070480;76709;8
1050;25;2065095;76671;6
1051;25;2073870;76525;8
1052;25;2081325;77013;6
1053;25;2083095;77830;6
1054;25;2088540;77641;6
1055;25;2082705;76957;7
1056;25;2078625;77807;8
1057;25;2087295;77666;7
