frame_nr;sampler_ratio;original_size;encoded_size;encoding_time
861;15;2084205;49286;4
862;15;2088945;50248;4
863;15;2089275;49687;4
864;15;2094840;50325;4
865;15;2076285;49551;5
866;15;2087550;49503;5
867;15;2086995;49315;4
868;15;2083095;49529;4
869;15;2084850;49637;5
870;15;2090850;49969;4
871;15;2093100;49911;4
872;15;2097225;49541;5
873;15;2093145;50104;4
874;15;2099820;49784;5
875;15;2111940;50600;4
876;15;2136585;51497;4
877;15;2165445;52443;5
878;15;2182620;52694;4
879;15;2186235;53731;4
880;15;2204055;54153;4
881;15;2204400;53938;4
882;15;2220585;53849;4
883;15;2218290;54053;4
884;15;2220825;54177;5
885;15;2220555;54389;5
886;15;2212545;54243;4
887;15;2215905;54050;4
888;15;2212680;53775;4
889;15;2216355;53455;4
890;15;2209230;54044;4
891;15;2203560;54348;4
892;15;2203935;53913;4
893;15;2194035;50285;5
894;15;2192895;53471;4
895;15;2175825;49236;4
896;15;2166225;53161;4
897;15;2163645;53118;4
898;15;2174535;53397;4
899;15;2167740;53066;5
900;15;2166045;53091;5
901;15;2164650;52642;4
902;15;2156430;53276;4
903;15;2174910;52796;5
904;15;2160900;53176;4
905;15;2174970;53318;5
906;15;2181375;52996;4
907;15;2172255;53239;5
908;15;2165175;52849;5
909;15;2132835;52416;5
910;15;2125140;52024;4
911;15;2114250;51624;4
912;15;2115570;51889;4
913;15;2110455;51063;4
914;15;2112735;51685;4
915;15;2125365;51565;5
916;15;2134215;52040;5
917;15;2147145;52326;4
918;15;2144175;52078;5
919;15;2134095;52218;5
920;15;2126775;51493;5
921;15;2135025;50798;5
922;15;2133060;52136;4
923;15;2150565;52180;4
924;15;2160510;52734;5
925;15;2173740;53482;5
926;15;2186175;53601;4
927;15;2182515;53384;4
928;15;2181255;53361;4
929;15;2193990;53249;4
930;15;2220615;53835;4
931;15;2237250;54906;6
932;15;2238525;54541;5
933;15;2222745;55277;5
934;15;2196810;53949;5
935;15;2213895;55186;5
936;15;2209185;54538;5
937;15;2199780;54927;4
938;15;2200650;54479;5
939;15;2197710;54082;5
940;15;2197710;55166;4
941;15;2195790;53947;4
942;15;2199570;54626;5
943;15;2196540;54817;5
944;15;2192580;54176;4
945;15;2202720;54204;4
946;15;2193420;53951;4
947;15;2204925;54747;4
948;15;2190315;53855;5
949;15;2189865;54894;5
950;15;2186400;54755;4
951;15;2181555;54609;5
952;15;2208270;54461;4
953;15;2203530;54527;4
954;15;2191830;54754;5
955;15;2203845;55234;4
956;15;2188830;54311;4
957;15;2199270;54668;5
958;15;2197890;55223;5
959;15;2202450;54537;5
960;15;2203005;54971;5
961;15;2188620;54214;5
962;15;2194755;54878;4
963;15;2202300;54125;4
964;15;2179215;53503;5
965;15;2190195;54408;4
966;15;2236545;55364;5
967;15;2262450;56390;4
968;15;2267220;56419;5
969;15;2275530;56454;4
970;15;2279385;56200;5
971;15;2279910;56684;5
972;15;2271705;56392;5
973;15;2270970;56268;4
974;15;2281335;56639;5
975;15;2280540;56699;5
976;15;2283750;56766;5
977;15;2284530;57551;5
978;15;2286045;57936;4
979;15;2280660;56854;5
980;15;2269620;53951;5
981;15;2265000;56368;4
982;15;2258835;56345;5
983;15;2250645;55505;5
984;15;2244030;55970;5
985;15;2245335;56115;5
986;15;2250465;56126;5
987;15;2261190;56020;5
988;15;2241585;56422;5
989;15;2261880;56644;5
990;15;2253000;56504;5
991;15;2251680;55592;5
992;15;2241900;55811;5
993;15;2234370;55050;4
994;15;2227815;55285;5
995;15;2230935;55226;5
996;15;2224170;55445;5
997;15;2216415;54851;5
998;15;2214660;55114;4
999;15;2210250;55096;5
1000;15;2211525;54846;4
1001;15;2214945;54970;5
1002;15;2203170;54732;6
1003;15;2199615;55298;5
1004;15;2199720;54437;5
1005;15;2206545;54859;4
1006;15;2204850;54875;5
1007;15;2211360;54934;4
1008;15;2201205;54383;5
1009;15;2173245;53746;4
1010;15;2180550;53772;5
1011;15;2164560;53390;5
1012;15;2169585;53333;5
1013;15;2180595;53655;5
1014;15;2195970;54496;5
1015;15;2197650;54343;5
1016;15;2186145;54426;4
1017;15;2179410;53876;4
1018;15;2165535;53249;5
1019;15;2161020;53300;5
1020;15;2177700;53806;4
1021;15;2186925;54377;5
1022;15;2195010;54088;5
1023;15;2196540;54272;5
1024;15;2210595;54408;4
1025;15;2199555;53633;4
1026;15;2207460;54563;5
1027;15;2210385;53543;5
1028;15;2194500;53444;4
1029;15;2204685;54509;4
1030;15;2197590;54307;4
1031;15;2195790;53821;5
1032;15;2196480;54381;5
1033;15;2193975;54169;5
1034;15;2203350;54710;4
1035;15;2194875;53662;5
1036;15;2184585;54653;4
1037;15;2182365;54259;4
1038;15;2188050;54414;4
1039;15;2189580;54229;5
1040;15;2192775;54417;5
1041;15;2170995;53249;5
1042;15;2152095;52364;4
1043;15;2151405;52411;4
1044;15;2143695;52156;5
1045;15;2104080;50412;4
1046;15;2097225;49588;4
1047;15;2089245;49897;5
1048;15;2084475;49981;5
1049;15;2070480;48944;6
1050;15;2065095;48969;5
1051;15;2073870;49247;4
1052;15;2081325;49228;5
1053;15;2083095;49721;5
1054;15;2088540;49990;4
1055;15;2082705;49317;4
1056;15;2078625;49774;4
1057;15;2087295;49596;4
